Year,FR ENR,TR ENR
1994,34210.0,15235.0
1995,36597.0,15651.0
1996,38698.0,15194.0
1997,38981.0,14492.0
1998,41448.0,14515.0
1999,44339.0,15435.0
2000,45979.0,19325.0
2001,49081.0,20835.0
2002,51547.0,22115.0
2003,54716.0,22350.0
2004,52780.0,22497.0
2005,54364.0,22546.0
2006,59197.0,23251.0
2007,61754.0,22948.0
2008,66554.0,24091.0
2009,67464.0,26587.0
2010,69121.0,28891.0
2011,72194.0,31439.0
2012,79986.0,29651.0
2013,86068.0,29625.0
2014,87428.0,29599.0
2015,90075.0,30716.0
2016,92491.0,33928.0
2017,98545.0,33266.0
2018,105428.0,36362.0
2019,101591.0,36734.0
2020,99319.0,38610.0
2021,111248.0,40306.0
2022,115412.0,33413.0
