Year,App GPA,Adm GPA,Enrl GPA,Origin
1994,3.6275658085131113,3.7217958445684323,3.7109062845881677,FR
1995,3.633586859893117,3.73218553522835,3.7250912249825086,FR
1996,3.6429152812833063,3.7463671650783814,3.743726294634616,FR
1997,3.6640124495098214,3.760702223166971,3.763061778506634,FR
1998,3.674634755231884,3.783587477321764,3.783870884499446,FR
1999,3.678307777858868,3.797085300948735,3.8087627223388556,FR
2000,3.6856525452578612,3.793947880461267,3.8037138390912424,FR
2001,3.6598358329031226,3.7643143951894364,3.7821349269341056,FR
2002,3.6606383650760206,3.762802530632002,3.7771760930382663,FR
2003,3.649326385144253,3.7507876755154355,3.7807010051123267,FR
2004,3.6752254181494437,3.8013604578407127,3.804861704107849,FR
2005,3.66973443245487,3.7754275560694857,3.8030746520977665,FR
2006,3.6653053936762774,3.756035167434387,3.7895503669965884,FR
2007,3.651391630795654,3.7454260606313277,3.78792613709632,FR
2008,3.638800289795809,3.7435648242785207,3.7906875517699903,FR
2009,3.652372385113932,3.7648386167457777,3.8250642527911256,FR
2010,3.672504298794253,3.79259649083502,3.8459926025363034,FR
2011,3.6711312067867166,3.8278369275064947,3.8605702416884164,FR
2012,3.651290026787743,3.837058578541322,3.8714573632213125,FR
2013,3.658593309376925,3.8789616771656723,3.9172951836612295,FR
2014,3.6789250260383946,3.8938634079907524,3.9420935667287083,FR
2015,3.6821075002066594,3.9196069915841836,3.961651151858939,FR
2016,3.6885945481667655,3.8814941722798175,3.9357325997794232,FR
2017,3.704862400779678,3.9193368413440584,3.9737584731743287,FR
2018,3.7276515315429655,3.948229451374813,4.007308424712953,FR
2019,3.757057822770998,3.9462652007102625,4.014414114851944,FR
2020,3.7706958912721293,3.909769468783646,3.9935886824972413,FR
2021,3.7608103135052704,3.9190915043812153,4.010431609389475,FR
2022,3.835015394489579,3.9790851331629304,4.076092987492678,FR
1994,3.2241383027833863,3.308641322796013,3.3175328672191635,TR
1995,3.211923757459531,3.292441387534646,3.3005062652893664,TR
1996,3.2331021834651303,3.305781934578129,3.3180516535445315,TR
1997,3.23642062640157,3.3053578554043757,3.3164124259148546,TR
1998,3.2397260591368484,3.3275885423947758,3.3258408894042626,TR
1999,3.2508492317234756,3.341085146214383,3.3506404234340534,TR
2000,3.251718704541531,3.3318949735116794,3.3498124164759258,TR
2001,3.24508557057629,3.3186282087156855,3.3327446040525124,TR
2002,3.2446526761397063,3.329708491026407,3.3380056249152834,TR
2003,3.2558916104405267,3.3559620084076207,3.369229726659688,TR
2004,3.2707861102538236,3.3644040645206528,3.375493371345272,TR
2005,3.271316963969964,3.342050109107531,3.3676413820544386,TR
2006,3.2568862442597863,3.3240891219534445,3.3498516773654923,TR
2007,3.266774254658015,3.330767973087728,3.354565941271237,TR
2008,3.250656600038476,3.3364262421979207,3.357463206624342,TR
2009,3.2632222728033256,3.3504511229056066,3.369080449206608,TR
2010,3.2614901447744007,3.3664738086509147,3.396614173700282,TR
2011,3.2499295962306056,3.389667250529485,3.4069173061712923,TR
2012,3.2727050530389543,3.4125856177752443,3.4328674317021357,TR
2013,3.2871640233565413,3.424464594001782,3.453060300590061,TR
2014,3.305794495194877,3.434111727300143,3.4577743650229884,TR
2015,3.3032925848069534,3.439485101850507,3.458866163794397,TR
2016,3.301526281540157,3.4327484405982718,3.4476321755477546,TR
2017,3.3178577939337504,3.4173443700698587,3.4442310481495255,TR
2018,3.3126085890373007,3.4127452014639363,3.437565664038881,TR
2019,3.3330385865639327,3.438447753806457,3.477121336234189,TR
2020,3.336356412120236,3.4418948718627447,3.468555656137251,TR
2021,3.4089936741797318,3.516159926909008,3.545437565152473,TR
2022,3.441987867134167,3.5415542333307477,3.5667462651047503,TR
